"

Simbawells
"

African Pot

","-4.287335","39.587875"
"

Shehnai Restaurant

","-4.060667","39.669666"
"

Tarboush Cafe

","-4.06124","39.6751"
"

Amandina

","-3.361711","40.003887"
"

The Roan Rooftop

","-0.102528","34.752354"
"

Colobus Shade


(Diani Beach)

","-4.290022","39.586784"
"

Ali Barbour's Cave Restaurant


(Diani Beach)

","-4.313203","39.57684"
"

Imani Dhow Restaurant


(Bamburi)

","-3.987253","39.738888"
"

MNKafe

","-4.073093","39.669487"
"

Urban street food

","-4.063167","39.675346"
"

Le Cafe at Lantana Galu Beach


(Diani Beach)

","-4.290022","39.586784"
"

Cafe Arabika

","-4.035609","39.66609"
"

Swahili Beach


(Diani Beach)

","-4.290022","39.586784"
"

Bush Gardens Restaurant

","-2.267964","40.90254"
"

Kiriku

","-3.367975","39.99743"
"

Pavilions Restaurant

","-4.006207","39.723923"
"

The Fort Seafood Restaurant and Pizzeria

","-4.061996","39.67921"
"

Putipu

","-3.20607","40.11197"
"

The Spice Route


(Diani Beach)

","-4.290022","39.586784"
"

Tamarind Dhow

","-4.043657","39.680702"
"

Urban Eatery

","-1.26555","36.802296"
"

Senteu Restaurant

","-0.706166","36.426926"
"

NON SOLO GELATO by anna

","-3.367975","39.99743"
"

Makuti Ristorante Pizzeria

","-3.353878","40.01972"
"

I Love Pizza Beach Bistro & Steakhouse

","-3.21885","40.12564"
"

Hashmi Barbeque Centre

","-4.05297","39.666397"
"

Mambo Italia

","-1.278347","36.76985"
"

Aniellos


(Diani Beach)

","-4.288917","39.5865"
"

Bidi Badu Restaurant


(Diani Beach)

","-4.319805","39.575905"
"

Mwana Arafa

","",""
"

Kisumu Yacht Club

","-0.162558","34.609585"
"

Singh Restaurant

","-4.056716","39.667076"
"

Dorman's


(Nanyuki Town)

","",""
"

Gerry's Irish Bar & Restaurant


(Nanyuki Town)

","",""
"

La Marina

","",""
